Job Name,Company Name,Location,Salary,Description,Skills
Sr. Manager - Analytics Developer,Vodafone,"Pune, Maharashtra",NA,"Develops and delivers key predictive models, statistical models and machine learning-based tools and supports senior managers in the delivery of data science…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
IAM CTO Pune,Deutsche Bank,"Pune, Maharashtra",NA,A culture of continuous learning to aid progression.Job Title: VP – Lead Solution Engineer.Treasury is responsible for the stewardship of financial resources…,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Senior Solution Advisor / Lead Solution Advisor,Deloitte,"Bengaluru, Karnataka",NA,"Including live classrooms, team-based learning, and eLearning.Part of our efforts, we provide our professionals with a variety of learning.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Data Scientist,PayU Payments Pvt Ltd,"Bengaluru, Karnataka",NA, Working on cutting-edge techniques e.g. machine learning and deep learning models.Company: PayU Payments Pvt Ltd.What you will be doing:,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
ERP Analyst,Atlassian,"Bengaluru, Karnataka",NA,"To support you at work (and play) we offer some fantastic perks: ample time off to relax and recharge, flexible working options, five paid volunteer days a year…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
FPGA and System Design Engineer ( 0 to 2 years),Yantravision Software Pvt Ltd,NA,20000 - 35000,"Looking for engineers with FPGA and RTL Design Skills.Design, RTL Coding & Basic Verification Skills.FPGA Toolchain - Integration, Synthesis & Implementation.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Junior Content Writer,Telebu,"Hyderabad, Telangana",NA,"A deep understanding of consumers and what motivates them online.Great research, organizational, and learning skills.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
C++ Software Engineer,DeepR Analytics,NA,600000 - 1200000,"We're DeepR Analytics (www.deepranalytics.com), a company based out of Toronto, Canada, that develops algorithmic trading solutions and products primarily…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Applied Scientist II,Amazon Dev Center India - Hyd,"Hyderabad, Telangana",NA,"You will use techniques from a wide array of machine learning paradigms, such as supervised, unsupervised, semi-supervised and reinforcement learning.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Machine Learning Intern,Leben Care Technologies,"Hyderabad, Telangana",NA,Leben Care is offering 3/ 6/ 9 month internships in the areas of deep machine learning and computer vision .Hands-on experience in machine learning / computer…,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Creative Writer,Career Lift,"Indore, Madhya Pradesh",NA,"A deep understanding of consumers and what motivates them.Great research, organizational, and learning skills.University Articles and related things.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Functional Safety Expert,Aptiv,"Bengaluru, Karnataka",NA,"A Learning Enthusiast to be passionate about learning, follow trends and publications in the market outlining new solutions.A graduate in BE/B.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
"Director - E-Commerce, FRWD",Bain & Company Inc,"Bengaluru, Karnataka",NA,FRWD@bain is seeking a seasoned professional with a track record of applying technology to generate invaluable real-time consumer learning and continuous…,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Java Developer,CAPCO,"Mumbai, Maharashtra",NA,"Ongoing learning opportunities to help you acquire new skills or deepen existing expertise.Capco is a global technology and business consultancy, focused on…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
