Job_Name,Company_Name,Location,Salary,Description,Skills
Experienced PHP Developer,Avishkar Solutions,"Thane, Maharashtra",NA,We are currently looking for an experienced PHP developer to join our expanding team.Minimum of 2years working experience of building object- oriented PHP…,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Experienced PHP developers,Bhardwaj Network,Gujarat,NA,"Experience: 2-5 years of an experience in PHP/MySQL.Candidate should be able to handle all stages of web development that includes coding, development, testing…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Web Developer,Esenceweb IT,"Nashik, Maharashtra",10000,"We are looking for a PHP developer to developed scalable software solutions.As a PHP web developer, you should be comfortable with both front-end and back-end…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,Teamwork APAC Pte Ltd,"Puducherry, Puducherry",NA,"At least 3 years of experience in Core PHP and CodeIgniter Framework.Web development experience using CodeIgniter, MVC, HTML/ HTML 5, CSS, JavaScript,…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Programmer,LIFARS,NA,13043 - 44775,Part-time PHP Programmer Description: *.We are looking for a new person for a position as a PHP programmer to manage and help fix our website.,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,Technology Counter,"Pune, Maharashtra",NA,"Integration of user-facing elements developed by front-end developers.We have a requirement for PHP Developer-CODEIGNITER.Write clean, well designed code.","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Web Developer,RedPin Technologies,"Pune, Maharashtra",30000 - 40000,RedPin is highly prepared to address the emerging and established business models.Hone your business strategy with our customized software and mobile app…,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,Lennox Software Private Limited,"Jodhpur, Rajasthan",NA,Zeal to learn new technologies and able to demonstrate the skills using previous projects is a definite plus.Candidate should have the ability to be focused on…,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer / Angular Developer,Intlabs Technology Pvt.Ltd,"Mysore, Karnataka",240000 - 400000,"Designation PHP CodeIgniter / Angular developer Location Mysore.Category : Programming & DesignRole : Software DeveloperKey: Codeigniter Framework, Angular 4 …","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Programmer,LIFARS,NA,13043 - 44775,Part-time PHP Programmer Description: *.We are looking for a new person for a position as a PHP programmer to manage and help fix our website.,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Website Developer,Buybackmart,"Pune, Maharashtra",NA,Individual Profile : Should Be Having Sound Knowledge Of PHP Development. Should Be Able To Make Changes in The Current Website. Should Be Able To Implement…,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
JUNIOR PHP DEVELOPER-FRESHER 2020,RAMPiT,"Coimbatore, Tamil Nadu",NA,Expected Salary(Salary is not a constraint for best developers).We are pleased to inform you that we currently have openings for JUNIOR PHP developers…,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Backend Developer,SMR IT Solutions,"Jogeshwari, Mumbai, Maharashtra",15000 - 20000,We had Started New Company. We need Back-end and Front-end Developer. Knowledge Must Know : - 1) Laravel 2) PHP 3) MySQL Interview is not Compulsory.…,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Senior PHP Developer,WHITEFONT TECHNOLOGIES,"Chennai, Tamil Nadu",NA,We are looking for Senior PHP Developer candidates matching the below requirements can apply for this position.Experience Required : 2-4 years.,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Flutter Developer,Stratmark consulting Pvt ltd,"Bengaluru, Karnataka",1200000,"Design build and maintain high performance, implementation of low-latency, high-availability, and performance applications.Total work: 4 years (Required).","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Sr. PHP Developer,Maharaja Games,"Prabhadevi, Mumbai, Maharashtra",NA,"As the Senior Developer, you will be responsible for writing quality code for our websites and game projects.Knowledge of Codeigniter is required and other MVC…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,Micra Solution,"Surat, Gujarat",NA,"BCA, MCA, Computer Science, Computer Engineering.Should be good with English Communication.Should have good hands-on experience with PHP, MySQL, HTML, CSS.","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Wordpress Developer,Trybros Enterprises,"Bengaluru, Karnataka",NA,"The ideal candidate is a skilled creative professional that thrives in a team environment.You will create the look, layout and features of our product tools,…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer ( Exp. Required: 6 months - 3 years),Prismetric Technologies Pvt Ltd,"Gandhinagar, Gujarat",180000 - 420000,Collaborate with front-end developers to integrate user-facing elements with server-side logic.Participate in the entire application life cycle; focusing on…,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
