Job_Name,Company_Name,Location,Salary,Description,Skills
Business Analyst - Growth,FabHotels,"Gurgaon, Haryana",NA,Relevant Experience: 1-4 Years.Experience on Excel and SQL.Basics of coding on R/ Python.Good to have experience on BI tools like Tableau.,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
"Dev Business Analyst, Senior",Infor,"Hyderabad, Telangana",NA,Create business process documents that capture each of the customer’s (Internal / External) key business processes in a structured manner keeping in mind the…,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst ( Pre-sales for US Market ),Cropup Technologies Pvt. Ltd.,"Lucknow, Uttar Pradesh",15000 - 25000,"Ability to multi-task, prioritize, and manage time effectively.Source new sales opportunities through inbound lead follow-up and outbound cold calls and emails…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,Probotiq Solutions,"Chennai, Tamil Nadu",NA,"Ability to take business decisions.Understanding of IT landscapes and architecture, systems engineering concepts, business process re-engineering and business…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Investment Analyst,World Bank Group,"Mumbai, Maharashtra",NA,Prepare sector mapping to target potential clients and business opportunities.Identify key stakeholders as input to business development and client engagement…,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
JLT India_Analyst_EB,JLT India,"Powai, Mumbai, Maharashtra",NA,Ensure that all statutory and company regulations are followed while processing work to protect clients and the business interests.,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,Konstant Infosolutions,"Jaipur, Rajasthan",NA,"Experience with business case development.Assisting with the business case and technology requirements.Requirement analysis, management and communication.","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,"Cascade California Realty, Inc","Kochi, Kerala",15000 - 20000,"We are looking for a research associate / business analyst to join our team.While much of the work can be done during business hours in India, flexibility of…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Sr. Business Analyst,63 moons technologies,"Mumbai, Maharashtra",NA,"Qualification: Any Graduate Experience: 4 - 7 Years Employement: Permanent Skill Sets: Business Analyst, BA, Documentation, Capital Market, Requirement…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Sr. Business Analyst,Sysmedac,"Chennai, Tamil Nadu",NA,"Core banking business analysis experience preferably in retail banking applications and/ or internet, mobile, ATM applications.","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
