Job_Name,Company_Name,Location,Salary,Description,Skills
Customer Support Engineer,NTT MSC,"Chennai, Tamil Nadu",NA,"In a constantly changing world, we work together with our people, clients and communities to enable them to fulfill their potential to do great things.","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Java - Chennai - JC01,Mphasis,"Chennai, Tamil Nadu",NA,Any experience in cloud computing like Pivotal will be an added advantage.Step into the world of Mphasis!Welcome to a world of customer-centric transformation…,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
AWS Cloud Architect,Collasys Global Services LLP,"Bengaluru, Karnataka",NA,?Excellent knowledge of cloud computing technologies and current computing trends.?Develop and organize AWS cloud systems.,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Service Desk Technical Analyst,Citrix,"Bengaluru, Karnataka",NA,Citrix is a cloud company that enables mobile workstyles.The Service Desk Technical Analyst position requires an individual to demonstrate rapid learning…,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Senior Cloud Devops Engineer,Oracle,"Bengaluru, Karnataka",NA,"Strong understanding of cloud computing, load balancing, networking and defining infrastructure as code is expected.Senior Cloud Devops Engineer-20000H6P.","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Product Manager-Product Localization,Honeywell,"Bengaluru, Karnataka",NA,"A solid business and technical knowledge of IaaS, SaaS, PaaS and cloud computing.HCE provides cloud-based Enterprise Performance Management offerings in a…","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Data Scientist,Larsen & Toubro Infotech Limited,"Pune, Maharashtra",NA,"With operations in 30 countries, we go the extra mile for our clients and accelerate their digital transformation with LTI’s Mosaic platform enabling their…","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
UX Designer,IBM,"Bengaluru, Karnataka",NA,Join us to help build our leading-edge technology portfolio designed for cognitive business and optimized for cloud computing.How we’ll help you grow:,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Senior Member of Technical Staff - Flow(QA Engineer),Nutanix,"Bengaluru, Karnataka",NA,"Nutanix is a global leader in cloud software and a pioneer in hyper-converged infrastructure solutions, making computing invisible anywhere.","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
SDE Senior,CSG,"Bengaluru, Karnataka",NA,Embrace public cloud technologies demonstrating cost-effective and well-architected solutions.CSG International is hiring for a Senior Software Engineer to…,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Staff Engineer (DevOps),Helpshift,Remote,NA,"Build a cloud infrastructure that’ll be easy to move to a different cloud service provider.Understand, automate and scale Helpshift cloud infrastructure.","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Content Editor,MAQ Software,"Hyderabad, Telangana",NA,"Our solutions use Big Data and advanced Business Intelligence features of SQL Server, AI and Cognitive Services including Azure Machine Learning, the latest…","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Automation Architect (Cloud Java/Python),DELL,NA,NA,"Understanding of large scale computing solutions.The Client Software and Solution team tightly integrated with most of the development organizations, including…","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Automation Architect (Cloud Java/Python),DELL,NA,NA,"Understanding of large scale computing solutions.The Client Software and Solution team tightly integrated with most of the development organizations, including…","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Sales Manager,Foetron,"Gurgaon, Haryana",NA,Are you looking for an exciting and captivating position where you will be a part of the future of the Cloud space?Genuine believer of Cloud Computing!,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Cloud Support Engineer II - Networks,AISPL - Karnataka,"Bengaluru, Karnataka",NA,"Would you like to use the latest cloud computing technologies?In-depth understanding of virtualization and cloud computing (Hypervisors, VMware, Xen).","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Lead Tech Support,Johnson Controls,"Bengaluru, Karnataka",NA,"O Cloud computing solutions (AWS, Azure, Google) is a significant plus.Operate as an escalation liaison between the frontline staff supporting the retail…","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Technical Consulting Engineer – Application Centric Infrastr...,Cisco Systems,"Bengaluru, Karnataka",NA,Cisco transforms next-generation data center and cloud deployments with our portfolio of products radically simplifying and optimising the entire application…,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Partner Success Manager,AISPL - Delhi,"Gurgaon, Haryana",NA,Amazon Web Services (AWS) is leading the next paradigm shift in computing and is looking for world class candidates to manage our partnerships with the leading…,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
IXO IOT Applications hiring for Bengaluru,ICS Consultancy Services,India,1000000 - 2500000,In Java/Javascript/Python.5.Exp. in developg microservices and deployed to cloud using docker container 6.IoT Field devices/sensor/technology:devices/sensors…,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Product Manager – IoT Asset Modeling,Honeywell,"Bengaluru, Karnataka",NA,"This architecture relies upon a robust, secure and efficient mechanism to synchronize the asset model definitions between the edge and cloud-based services.","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Automation Architect (Cloud Java/Python),DELL,NA,NA,"Understanding of large scale computing solutions.The Client Software and Solution team tightly integrated with most of the development organizations, including…","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Product Manager Building Object Model,Honeywell,"Bengaluru, Karnataka",NA,"Working knowledge of IaaS, SaaS, PaaS and cloud computing.In-depth understanding of cloud software, digital twins, IoT applications, automation applications.","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Mendix R&D - Senior Golang Developer,Siemens AG,"Pune, Maharashtra",NA,Experience developing platform/service/applications on AWS or public cloud platforms.We will be closely working with the customers who want to adopt Private…,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Software Development Engineer - Python Scala,McAfee,"Bengaluru, Karnataka",NA,"From device to cloud, McAfee provides market-leading cybersecurity solutions for both business and consumers.Software Development Engineer - Python Scala.","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Program Manager - AWS Solution Architecture,Total AISPL,India,NA,This role also requires analytical skills and intermediate knowledge of cloud computing concepts to understand project details and be able to develop meaningful…,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Principal Sales Consultant (Presales) - Cloud Solution Archi...,Oracle,"Bengaluru, Karnataka",NA,"Ability to translate workload requirements into public cloud or hybrid cloud technical architecture, incorporating Compute, Networking and Storage requirements…","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Technical Support Executive,Mission Sports Pvt Ltd,NA,20000,Greetings from Mission Sports Pvt Ltd!!We are looking for Technical Support Executive to monitor and maintainthe computer system and networks within an…,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Sr.Executive Sales – Windriver,CoreEl Technologies,"Bengaluru, Karnataka",NA,"Working with the leading provider of integrated embedded software and networks solutions, you will manage all techno commercial needs of some of the major…","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
Security Engineer- Mainframe,Morgan Stanley,"Bengaluru, Karnataka",NA,"CI also offers access to the private and public cloud and enables secure self-service and automation.Core Infrastructure (CI) provides a stable, flexible, and…","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning"
