Job Name,Company Name,Location,Salary,Description,Skills
Node.js Developer,OSCOD TECHNOLOGIES,"Ahmedabad, Gujarat",NA,"Knowledge of Node.js and frameworks available for it {{such as Express, StrongLoop, etc depending on your technology stack}}.Familiarity with the MEAN STACK.","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
FS_.Net Full stack Engineer Senior,EY,"Bengaluru, Karnataka",NA,"Lead or Mentor junior and/or mid-level developers.7 + years of Experience in Microsoft Technologies (Relevant) or as full stack (MEAN, MERN).","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Node js developer,PROBESEVEN,"Coimbatore, Tamil Nadu",NA,"Ability to hold working experience in PHP, Node.js/React.js , Mongo DB.Strong analytical and problem-solving skills.Must work well in a team environment.","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Node JS Developer,Acquiscent Technologies,"Pune, Maharashtra",NA,#NAME?,"Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Cordova Developers,Appsimity Solutions,"Mohali, Punjab",NA,"We are currently hiring for the position if Hybrid Mobile Application Developer.Hybrid Mobile Application Development using JavaScript, Cordova, jQuery,…","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Senior Software Engineer,MasterCard,"Pune, Maharashtra",NA,"Full stack engineering experience in a production environment.Experience with complex Micro service, modern technology stack Implementations"".","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Hiring Node.js Developer - JavaScript/Angular/Nodejs,Solution Analysts Pvt Ltd,"Ahmedabad, Gujarat",NA,"We hire developers who are hungry to learn and keep up with the newest trends.If you need our help, we'll be there for you because this means more than just a …","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Principal Software Developer,Oracle,"Hyderabad, Telangana",NA,"We own our full stack, from the UI to the infrastructure.We’re a team of about a dozen full-stack engineers.Data is in our name, and it’s our core asset.","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Full Stack Developer_MERN/MEAN,Webhopers Infotech Private Limited,NA,20000 - 40000,Considering the current scenario of pandemic- This position is applicable for only those candidates who are who are flexible for both- to work from home as well…,"Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Lead Developers,SociallyGood,"Bengaluru, Karnataka",NA,Full stack development experience and expertise in React JS and React Native Mobile development would be added advantage.,"Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Senior Software Engineer,The Straits Network,"Hyderabad, Telangana",NA,"Knowledge of building services using java stack is a plus.1+ years of experience building full stack applications with MongoDB, Express, Angular/React, and…","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
