Job_Name,Company_Name,Location,Salary,Description,Skills
Devops Infrastructure Engineer,Meteonic Innovation,"Bengaluru, Karnataka",NA,Mitech is looking for a summer intern to work in the Information & Technology Services area.This position is part of a team which supports Microsoft Server…,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Sr. DevOps Engineer,Oracle,"Bengaluru, Karnataka",NA,"Applicants are required to read, write, and speak the following languages: English.Preferred Degree: Any Engineering Degree (Computer science preferred).","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Salesforce Devops Release Engineer – US Shifts,Mirketa,"Noida, Uttar Pradesh",NA,Mirketa Software Pvt. Ltd. is looking for a Salesforce Devops Release Engineer to join its team in Noida for US Shift from 9:30 IST to 6:30 IST.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Software Engineer-AWS,Xpheno,"Bengaluru, Karnataka",1500000 - 2000000,Working knowledge of devops and deployment architectures.We are hiring for a leading Multinational Technology Company that specializes in enterprise infra…,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Senior Cloud Application Engineer - Networking,SumTotal,Andhra Pradesh,NA,Collaborate with application engineers and solutions architects in day to day operations as well as long-term sustainability and innovation.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Azure Cloud Engineer,Talent Acquisition,NA,1000000 - 1400000,Job Location : * India (Remote full time).Relevant experience working on Cloud infrastructure & architecture.A deep understanding of Azure cloud platform.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
DevOps/AWS Engineer,Whizzystack,"Noida, Uttar Pradesh",NA,"You will be an instrumental part of our client’s engineering team, responsible for delivering end-to-end solutions from initial concept through finished…","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Azure Cloud Engineer,Talent Acquisition,NA,1000000 - 1400000,Job Location : * India (Remote full time).Relevant experience working on Cloud infrastructure & architecture.A deep understanding of Azure cloud platform.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Backend Engineer,Mammoth Analytics,"Bengaluru, Karnataka",NA,"As a back-end engineer, this will be a fun and challenging role with a great opportunity to have a direct influence on the product, architecture and technical…","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Devops Engineer For top MNC,LRR Technologies Hyderabad Private Limited,"Hyderabad, Telangana",1800000 - 2300000,"Job description - Carrier Corporation is an American air conditioning brand of the UTC Climate, Controls & Security. It was founded in 1915 as an independent…","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Senior Engineer – DevOps (Ansible),Cambridge Technology Enterprises (CTE),"Hyderabad, Telangana",NA,"Skills: Ansible, AWS, GCP (Highly Preferred).Location: Hyderabad or working remotely from any location In India.Maintain source code repositories using Git.","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Sr. Software Engineer (DevOps),Aleron,"Bengaluru, Karnataka",NA,"Architect the Cloud deployment, collaborating with DevOps teams to design the next generation of application deployment architecture, and developing the…","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
IAM Engineer,Micro Focus,"Bengaluru, Karnataka",NA,"The engineer/consultant performs all administration, management, configuration, testing and integration tasks related to the systems.","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Head of Engineering,Colortokens,"Bengaluru, Karnataka",NA,Manage a large team of very talented engineers.We are looking for a dynamic technical leader to head our engineering organisation which would entail the…,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Azure Cloud Engineer,Talent Acquisition,NA,1000000 - 1400000,Job Location : * India (Remote full time).Relevant experience working on Cloud infrastructure & architecture.A deep understanding of Azure cloud platform.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
QA Engineer,Finastra,"Bengaluru, Karnataka",NA,2 yrs to 4 yrs.Build automation capability in product teams irrespective of the Java Tech Stack.Design and enhance automation frameworks.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Lead Engineer - Devops,FIS Global,"Indore, Madhya Pradesh",NA,"Experienced (relevant combo of work and education).Are you curious, motivated, and forward-thinking?At FIS you’ll have the opportunity to work on some of the…","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
